epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.925,1.90473,3.02859,1.74555,0.36309,0.29839,0.25877,0.11371,2.18543,3.63821,1.89529,0.00332783,0.00332783,0.00332783
2,407.304,1.85212,2.20198,1.69924,0.39338,0.23172,0.2244,0.08071,2.31861,2.61728,1.87618,0.00659522,0.00659522,0.00659522
